product_id;product_name;department;aisle
1;Chocolate Sandwich Cookies;snacks;cookies cakes
78;Nutter Butter Cookie Bites Go-Pak;snacks;cookies cakes
102;Danish Butter Cookies;snacks;cookies cakes
172;Gluten Free All Natural Chocolate Chip Cookies;snacks;cookies cakes
285;Mini Nilla Wafers Munch Pack;snacks;cookies cakes
331;Organic Lemon Gingersnap;snacks;cookies cakes
449;Chips Ahoy! Chewy Cookies;snacks;cookies cakes
559;Cookie Chips Crunchy Dark Chocolate Chocolate Chip Cookies;snacks;cookies cakes
569;Golden Cupcakes 8 Pack;snacks;cookies cakes
574;Crunch Vanilla Sugar Mini Cookies;snacks;cookies cakes
576;Vanilla Sugar Cookies;snacks;cookies cakes
622;Fudge Brownies with English Walnuts;snacks;cookies cakes
627;Low Fat Honey Graham Crackers;snacks;cookies cakes
635;Little Bites Snickerdoodle Muffins;snacks;cookies cakes
658;Keebler Sandies Cashew 12.8 Oz;snacks;cookies cakes
733;Cinnamon Pop'ettes;snacks;cookies cakes
796;Chocolate Reese's Peanut Butter Cup Creme Oreo;snacks;cookies cakes
1058;Pure Butter Shortbread Scottie Dogs;snacks;cookies cakes
1129;Organic Family Recipe Chocolate Chip Cookies;snacks;cookies cakes
1209;Pecan Sandies Simply Sandies;snacks;cookies cakes
1256;Mini Strawberry Donuts;snacks;cookies cakes
1419;Spring Vanilla Cup Cake;snacks;cookies cakes
1473;Soft Frosty Lemon Cookies;snacks;cookies cakes
1547;Cookie Bites Chocolate Chip Cookies;snacks;cookies cakes
1608;Disney Frozen Graham Crackers;snacks;cookies cakes
1610;S'mores Soft Baked Bars;snacks;cookies cakes
1624;Chocolate Cookies;snacks;cookies cakes
1648;Chocolate Chip 1.4 oz Packs Cookies;snacks;cookies cakes
1694;Chunky Chocolate Chip Cookies;snacks;cookies cakes
1861;Sugar Ginger Snaps;snacks;cookies cakes
1864;Mini Crunchy Vanilla Cookies;snacks;cookies cakes
1865;Cookies, Ginger Snap;snacks;cookies cakes
1894;Gluten Free Arrowroot Cookies;snacks;cookies cakes
1935;Whole Wheat Cookies Dark Chocolate;snacks;cookies cakes
2023;Organic Stawberry Shortcake Sandwich Cookies;snacks;cookies cakes
2047;Fudge Sticks Jumbo Peanut Butter Cookies;snacks;cookies cakes
2060;Alphabet Cookies  Cinnamon Graham;snacks;cookies cakes
2227;Family Recipe Oatmeal Chocolate Chip Cookies;snacks;cookies cakes
2282;Macaroons, Dark Cacao;snacks;cookies cakes
2363;Brownie Chocolate Chip Mini Cake;snacks;cookies cakes
2368;Vegan Oatmeal Raisin Cookies;snacks;cookies cakes
2378;French Butter Cookies Coated in Dark Chocolate;snacks;cookies cakes
2409;Oreo Mini 20 Count Multipack 20oz;snacks;cookies cakes
2415;Sweet And Simple Sugar Cookies;snacks;cookies cakes
2491;Star Crunch;snacks;cookies cakes
2506;Fig Bars Multigrain;snacks;cookies cakes
2508;The Complete Cookie White Chocolate Macadamia;snacks;cookies cakes
2517;Vanilla Animal Cookies;snacks;cookies cakes
2631;Blueberry Figgies & Jammies;snacks;cookies cakes
2674;Chocolate Chip & Pecan Cookies;snacks;cookies cakes
2696;Gluten Free Chocolate Brownies;snacks;cookies cakes
2809;Vegan Oatmeal Chocolate Chip Cookies;snacks;cookies cakes
2843;Pumpkin Popem;snacks;cookies cakes
2868;Pure Butter Shortbread Highlanders;snacks;cookies cakes
2951;Chocolate Sea Salt Stars Shortbread Cookies;snacks;cookies cakes
2963;Lemon Shortbread Cookies;snacks;cookies cakes
2973;Lexington Milk Chocolate Toffee Almond Crispy Cookies;snacks;cookies cakes
2988;Special K Fudge Mini Brownies;snacks;cookies cakes
2992;Coco-Roons Vanilla Maple;snacks;cookies cakes
3061;Swiss Rolls;snacks;cookies cakes
3205;Original Pure Chocolate Whippet Cookies;snacks;cookies cakes
